item_index,subject,original_prompt,title,num_steps,output_dir,status,error
13,Housekeeping Staff,Four Housekeeping Staff. Housekeeping Staff A has tote bag in hand. Housekeeping Staff B has mustache. Housekeeping Staff C has water bottle in hand. Housekeeping Staff D wears headphones. Housekeeping Staff A and Housekeeping Staff B are whispering a secret into the other's ear with each other. Housekeeping Staff C and Housekeeping Staff D are looking at the same phone or tablet screen with each other.,,6,sbs_prompts\item_13_Housekeeping_Staff,SUCCESS,
19,Airline Pilot,Four Airline Pilots. Airline Pilot A has tattoos on ankle. Airline Pilot B has coffee cup in hand. Airline Pilot C has bun hair. Airline Pilot D has tablet in hand. Airline Pilot A and Airline Pilot B are pointing an accusatory finger at each other. Airline Pilot C and Airline Pilot D are crossing their arms and glaring while the other tries to talk.,,6,sbs_prompts\item_19_Airline_Pilot,SUCCESS,
52,Pharmacist,Four Pharmacists. Pharmacist A has green eyes. Pharmacist B wears earrings. Pharmacist C has tattoos on ankle. Pharmacist D has laptop in hand. Pharmacist A and Pharmacist B are giving a fist bump to each other. Pharmacist C and Pharmacist D are exchanging business cards with each other.,,6,sbs_prompts\item_52_Pharmacist,SUCCESS,
62,Construction Worker (often includes high-visibility safety gear),Four Construction Workers. Construction Worker A has a mustache. Construction Worker B is confused. Construction Worker C wears latex gloves. Construction Worker D has a suitcase in hand. Construction Worker A and Construction Worker B are one person crossing their arms and glaring while the other tries to talk with each other. Construction Worker C and Construction Worker D are shaking hands with each other.,,6,sbs_prompts\item_62_Construction_Worker__often_includes_high-visibility_safety_gear_,SUCCESS,
68,Lifeguard,Four Lifeguards. Lifeguard A has coffee cup in hand. Lifeguard B has red hair. Lifeguard C has tattoos on arm. Lifeguard D has straight hair. Lifeguard A and Lifeguard B are whispering a secret into the other's ear with each other. Lifeguard C and Lifeguard D are one person crossing their arms and glaring while the other tries to talk with each other.,,6,sbs_prompts\item_68_Lifeguard,SUCCESS,
82,Firefighter,Four Firefighters. Firefighter A has tattoos on ankle. Firefighter B wears earrings. Firefighter C has a lip piercing. Firefighter D wears latex gloves. Firefighter A and Firefighter B are shaking hands with each other. Firefighter C and Firefighter D are taking a pulse with each other.,,6,sbs_prompts\item_82_Firefighter,SUCCESS,
129,Casino Dealer,Four Casino Dealers. Casino Dealer A has sideburns. Casino Dealer B is worried. Casino Dealer C has Smartphone in hand. Casino Dealer D wears glasses. Casino Dealer A and Casino Dealer B are fist bumping with each other. Casino Dealer C and Casino Dealer D are exchanging business cards with each other.,,6,sbs_prompts\item_129_Casino_Dealer,SUCCESS,
142,Postal Worker,Four Postal Workers. Postal Worker A wears sunglasses. Postal Worker B is joyful. Postal Worker C has an eyebrow piercing. Postal Worker D is worried. Postal Worker A and Postal Worker B are pointing an accusatory finger at the other with each other. Postal Worker C and Postal Worker D are shouting while the other looks away with each other.,,6,sbs_prompts\item_142_Postal_Worker,SUCCESS,
160,Bank Teller,Four Bank Tellers. Bank Teller A has tattoos on neck. Bank Teller B has fades hair. Bank Teller C is thoughtful. Bank Teller D wears nose piercings. Bank Teller A and Bank Teller B are pouring the other a cup of tea or coffee with each other. Bank Teller C and Bank Teller D are one person shouting while the other looks away with each other.,,6,sbs_prompts\item_160_Bank_Teller,SUCCESS,
247,Bouncer,Four Bouncers. Bouncer A is joyful. Bouncer B has blue eyes. Bouncer C wears sunglasses. Bouncer D has camera in hand. Bouncer A and Bouncer B are having a fist bump with each other. Bouncer C and Bouncer D are waving to each other.,,6,sbs_prompts\item_247_Bouncer,SUCCESS,
